Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"NumLock1","SW_Push","SW_MX_HS_S_CPG151101S11_1u",168.275000,-69.850000,180.000000,bottom
"R1","10k","R_0805_2012Metric",234.156250,-92.987500,90.000000,bottom
"R2","22","R_0805_2012Metric",240.032000,-74.412500,90.000000,bottom
"R3","22","R_0805_2012Metric",238.000000,-74.412500,-90.000000,bottom
"R4","10k","R_0805_2012Metric",244.762500,-115.000000,180.000000,bottom
"R5","500","R_0805_2012Metric",241.975000,-81.756250,0.000000,bottom
"R7","5.1k","R_0805_2012Metric",244.593750,-69.056250,180.000000,bottom
"R8","5.1k","R_0805_2012Metric",236.656250,-69.056250,0.000000,bottom
"S2","TS-1187A-B-A-B","SW_TS-1187A-B-A-B",238.850000,-117.000000,0.000000,bottom
"SW1","~","SW-TH_MK-12D18-G040",253.060000,-61.640000,0.000000,bottom
"TV1","~","SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR",240.506250,-70.053200,180.000000,bottom
"U1","ATmega32U4-A","TQFP-44_10x10mm_P0.8mm",240.506250,-101.600000,180.000000,bottom
"U2","~","MX-SK-E-Left_Right",256.390044,-69.845855,180.000000,bottom
"U3","~","MX-SK-E-Left_Right",225.416556,-69.845855,180.000000,bottom
"U4","~","MX-SK-E-Left_Right",206.360000,-69.842501,180.000000,bottom
"U5","~","MX-SK-E-Left_Right",187.316556,-69.845855,180.000000,bottom
"U6","~","MX-SK-E-Left_Right",168.266556,-69.845855,180.000000,bottom
"U7","~","MX-SK-E-Right_Left",168.297956,-88.926300,180.000000,bottom
"U8","~","MX-SK-E-Right_Left",187.321444,-88.895145,180.000000,bottom
"U9","~","MX-SK-E-Right_Left",206.358044,-88.895145,180.000000,bottom
"U10","~","MX-SK-E-Right_Left",225.427773,-98.428556,-90.000000,bottom
"U11","~","MX-SK-E-Right_Left",256.384044,-88.895145,180.000000,bottom
"U12","~","MX-SK-E-Left_Right",256.385156,-107.976300,180.000000,bottom
"U13","~","MX-SK-E-Left_Right",206.366556,-107.947255,180.000000,bottom
"U14","~","MX-SK-E-Left_Right",187.291156,-107.971255,180.000000,bottom
"U15","~","MX-SK-E-Left_Right",168.266556,-107.945855,180.000000,bottom
"U16","~","MX-SK-E-Right_Left",168.277444,-127.002773,180.000000,bottom
"U17","~","MX-SK-E-Right_Left",187.327444,-127.002773,180.000000,bottom
"U18","~","MX-SK-E-Right_Left",206.371444,-126.995145,180.000000,bottom
"U20","~","MX-SK-E-Right_Left",225.421545,-136.516556,-90.000000,bottom
"U21","~","MX-SK-E-Right_Left",256.384044,-126.995145,180.000000,bottom
"U22","~","MX-SK-E-Left_Right",256.385156,-146.050900,180.000000,bottom
"U23","~","MX-SK-E-Left_Right",206.391956,-146.045855,180.000000,bottom
"U24","~","MX-SK-E-Left_Right",177.791556,-146.045855,180.000000,bottom
"Y1","Crystal_GND24_Small","Crystal_SMD_3225-4Pin_3.2x2.5mm",240.800000,-110.275000,0.000000,bottom
